背番号,Unnamed: 1,HG,名前,Pos.,出生地 ※1,生年月日,身長/体重,出場 試合数 ※2,ゴール 数 ※3,player_no,position,player_name,birth,height_weight,club_key,club_name,fetched_at,source_url
40.0,,HG,鈴木 優磨,FW,千葉県,1996/4/26,182/75,3,0,40.0,FW,鈴木 優磨,1996/4/26,182/75,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
77.0,,,チャヴリッチ,FW,セルビア,1994/5/18,186/82,3,0,77.0,FW,チャヴリッチ,1994/5/18,186/82,kashima,鹿島アントラーズ,2026-02-22T16:17:13,https://www.jleague.jp/club/ajax_player/
1.0,,,西川 周作,GK,大分県,1986/6/18,183/81,3,0,1.0,GK,西川 周作,1986/6/18,183/81,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
16.0,,,牲川 歩見,GK,静岡県,1994/5/12,195/90,0,0,16.0,GK,牲川 歩見,1994/5/12,195/90,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
31.0,,,吉田 舜,GK,埼玉県,1996/11/28,185/83,0,0,31.0,GK,吉田 舜,1996/11/28,185/83,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
35.0,,,佐藤 瑠星,GK,熊本県,2003/10/24,190/86,0,0,35.0,GK,佐藤 瑠星,2003/10/24,190/86,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
2.0,,,宮本 優太,DF,東京都,1999/12/15,171/70,2,0,2.0,DF,宮本 優太,1999/12/15,171/70,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
3.0,,,ダニーロ ボザ,DF,ブラジル,1998/5/6,184/72,1,0,3.0,DF,ダニーロ ボザ,1998/5/6,184/72,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
4.0,,,石原 広教,DF,神奈川県,1999/2/26,169/65,2,0,4.0,DF,石原 広教,1999/2/26,169/65,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
5.0,,,根本 健太,DF,千葉県,2002/12/13,184/81,3,0,5.0,DF,根本 健太,2002/12/13,184/81,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
26.0,,HG,荻原 拓也,DF,埼玉県,1999/11/23,175/73,3,0,26.0,DF,荻原 拓也,1999/11/23,175/73,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
32.0,,,片山 瑛一,DF,埼玉県,1991/11/30,181/75,0,0,32.0,DF,片山 瑛一,1991/11/30,181/75,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
40.0,,,ルカ ディドゥリカ,DF,オーストラリア,2007/9/18,200/84,0,0,40.0,DF,ルカ ディドゥリカ,2007/9/18,200/84,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
42.0,,,田中 義峯,DF,福岡県,2008/4/5,186/85,0,0,42.0,DF,田中 義峯,2008/4/5,186/85,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
8.0,,,マテウス サヴィオ,MF,ブラジル,1997/4/15,175/74,3,0,8.0,MF,マテウス サヴィオ,1997/4/15,175/74,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
10.0,,,中島 翔哉,MF,東京都,1994/8/23,164/64,1,0,10.0,MF,中島 翔哉,1994/8/23,164/64,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
11.0,,,サミュエル グスタフソン,MF,スウェーデン,1995/1/11,187/79,0,0,11.0,MF,サミュエル グスタフソン,1995/1/11,187/79,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
13.0,,,渡邊 凌磨,MF,埼玉県,1996/10/2,176/72,3,1,13.0,MF,渡邊 凌磨,1996/10/2,176/72,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
14.0,,HG,関根 貴大,MF,埼玉県,1995/4/19,167/61,3,1,14.0,MF,関根 貴大,1995/4/19,167/61,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
22.0,,,柴戸 海,MF,神奈川県,1995/11/24,180/70,3,0,22.0,MF,柴戸 海,1995/11/24,180/70,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
24.0,,HG,松尾 佑介,MF,埼玉県,1997/7/23,170/65,2,1,24.0,MF,松尾 佑介,1997/7/23,170/65,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
25.0,,,安居 海渡,MF,埼玉県,2000/2/9,174/69,3,0,25.0,MF,安居 海渡,2000/2/9,174/69,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
37.0,,,植木 颯,MF,神奈川県,2003/10/11,173/71,0,0,37.0,MF,植木 颯,2003/10/11,173/71,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
39.0,,HG,早川 隼平,MF,埼玉県,2005/12/5,163/65,2,1,39.0,MF,早川 隼平,2005/12/5,163/65,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
43.0,,,和田 武士,MF,埼玉県,2009/6/5,170/65,0,0,43.0,MF,和田 武士,2009/6/5,170/65,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
77.0,,,金子 拓郎,MF,埼玉県,1997/7/30,178/75,3,0,77.0,MF,金子 拓郎,1997/7/30,178/75,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
88.0,,,長沼 洋一,MF,山梨県,1997/4/14,178/70,1,0,88.0,MF,長沼 洋一,1997/4/14,178/70,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
7.0,,,安部 裕葵,FW,東京都,1999/1/28,171/65,0,0,7.0,FW,安部 裕葵,1999/1/28,171/65,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
9.0,,,イサーク キーセ テリン,FW,スウェーデン,1992/6/24,190/85,3,0,9.0,FW,イサーク キーセ テリン,1992/6/24,190/85,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
17.0,,,小森 飛絢,FW,富山県,2000/8/6,178/74,0,0,17.0,FW,小森 飛絢,2000/8/6,178/74,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
27.0,,HG,照内 利和,FW,静岡県,2006/11/8,172/68,1,0,27.0,FW,照内 利和,2006/11/8,172/68,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
36.0,,,肥田野 蓮治,FW,千葉県,2003/12/1,181/75,2,1,36.0,FW,肥田野 蓮治,2003/12/1,181/75,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
38.0,,,松永 颯汰,FW,兵庫県,2003/10/5,180/75,1,0,38.0,FW,松永 颯汰,2003/10/5,180/75,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
41.0,,,二田 理央,FW,大分県,2003/4/10,174/70,2,0,41.0,FW,二田 理央,2003/4/10,174/70,urawa,浦和レッズ,2026-02-22T16:17:15,https://www.jleague.jp/club/ajax_player/
1.0,,HG,猿田 遥己,GK,東京都,1999/4/23,191/83,0,0,1.0,GK,猿田 遥己,1999/4/23,191/83,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
25.0,,,小島 亨介,GK,愛知県,1997/1/30,183/85,2,0,25.0,GK,小島 亨介,1997/1/30,183/85,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
29.0,,,永井 堅梧,GK,埼玉県,1994/11/6,184/80,1,0,29.0,GK,永井 堅梧,1994/11/6,184/80,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
41.0,,,坂田 大樹,GK,千葉県,1994/9/11,184/84,0,0,41.0,GK,坂田 大樹,1994/9/11,184/84,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
46.0,,HG,松本 健太,GK,千葉県,1997/5/4,186/83,0,0,46.0,GK,松本 健太,1997/5/4,186/83,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
2.0,,,三丸 拡,DF,栃木県,1993/7/6,172/72,3,0,2.0,DF,三丸 拡,1993/7/6,172/72,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
4.0,,HG,古賀 太陽,DF,新潟県,1998/10/28,184/80,3,0,4.0,DF,古賀 太陽,1998/10/28,184/80,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
13.0,,,犬飼 智也,DF,静岡県,1993/5/12,182/78,0,0,13.0,DF,犬飼 智也,1993/5/12,182/78,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
22.0,,,野田 裕喜,DF,熊本県,1997/7/27,181/73,1,0,22.0,DF,野田 裕喜,1997/7/27,181/73,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
26.0,,,杉岡 大暉,DF,東京都,1998/9/8,182/75,2,0,26.0,DF,杉岡 大暉,1998/9/8,182/75,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
31.0,,,成瀬 竣平,DF,愛知県,2001/1/17,166/63,0,0,31.0,DF,成瀬 竣平,2001/1/17,166/63,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
32.0,,,山之内 佑成,DF,愛知県,2003/9/1,179/78,3,0,32.0,DF,山之内 佑成,2003/9/1,179/78,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
42.0,,,原田 亘,DF,兵庫県,1996/7/22,178/77,2,0,42.0,DF,原田 亘,1996/7/22,178/77,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
88.0,,,馬場 晴也,DF,千葉県,2001/10/24,181/76,2,0,88.0,DF,馬場 晴也,2001/10/24,181/76,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
6.0,,HG,山田 雄士,MF,千葉県,2000/5/17,169/63,0,0,6.0,MF,山田 雄士,2000/5/17,169/63,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
8.0,,,小泉 佳穂,MF,東京都,1996/10/5,172/64,3,1,8.0,MF,小泉 佳穂,1996/10/5,172/64,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
11.0,,,渡井 理己,MF,静岡県,1999/7/18,168/66,0,0,11.0,MF,渡井 理己,1999/7/18,168/66,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
14.0,,,大久保 智明,MF,東京都,1998/7/23,170/62,1,0,14.0,MF,大久保 智明,1998/7/23,170/62,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
16.0,,,汰木 康也,MF,神奈川県,1995/7/3,183/72,0,0,16.0,MF,汰木 康也,1995/7/3,183/72,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
17.0,,HG,手塚 康平,MF,栃木県,1996/4/6,177/71,0,0,17.0,MF,手塚 康平,1996/4/6,177/71,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
19.0,,HG,仲間 隼斗,MF,群馬県,1992/5/16,171/69,1,0,19.0,MF,仲間 隼斗,1992/5/16,171/69,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
20.0,,,瀬川 祐輔,MF,東京都,1994/2/7,170/70,3,1,20.0,MF,瀬川 祐輔,1994/2/7,170/70,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
21.0,,,小西 雄大,MF,徳島県,1998/4/18,170/71,2,0,21.0,MF,小西 雄大,1998/4/18,170/71,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
23.0,,,長南 開史,MF,栃木県,2009/4/7,176/70,0,0,23.0,MF,長南 開史,2009/4/7,176/70,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
24.0,,,久保 藤次郎,MF,愛知県,1999/4/5,167/64,2,0,24.0,MF,久保 藤次郎,1999/4/5,167/64,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
27.0,,HG,熊坂 光希,MF,埼玉県,2001/4/15,185/80,0,0,27.0,MF,熊坂 光希,2001/4/15,185/80,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
28.0,,,戸嶋 祥郎,MF,埼玉県,1995/9/26,170/69,1,0,28.0,MF,戸嶋 祥郎,1995/9/26,170/69,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
34.0,,HG,土屋 巧,MF,栃木県,2003/10/25,180/77,0,0,34.0,MF,土屋 巧,2003/10/25,180/77,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
37.0,,,角田 惠風,MF,神奈川県,2003/8/18,171/68,0,0,37.0,MF,角田 惠風,2003/8/18,171/68,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
38.0,,,島野 怜,MF,石川県,2004/1/7,183/83,0,0,38.0,MF,島野 怜,2004/1/7,183/83,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
39.0,,,中川 敦瑛,MF,神奈川県,2002/5/15,173/71,3,0,39.0,MF,中川 敦瑛,2002/5/15,173/71,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
40.0,,,原川 力,MF,山口県,1993/8/18,175/72,0,0,40.0,MF,原川 力,1993/8/18,175/72,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
87.0,,,山内 日向汰,MF,愛知県,2001/5/30,170/66,3,1,87.0,MF,山内 日向汰,2001/5/30,170/66,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
9.0,,HG,細谷 真大,FW,茨城県,2001/9/7,178/78,3,1,9.0,FW,細谷 真大,2001/9/7,178/78,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
15.0,,,小見 洋太,FW,埼玉県,2002/8/11,169/67,3,0,15.0,FW,小見 洋太,2002/8/11,169/67,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
18.0,,,垣田 裕暉,FW,群馬県,1997/7/14,187/78,1,0,18.0,FW,垣田 裕暉,1997/7/14,187/78,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
36.0,,,古澤 ナベル慈宇,FW,埼玉県,2003/3/28,182/86,0,0,36.0,FW,古澤 ナベル慈宇,2003/3/28,182/86,kashiwa,柏レイソル,2026-02-22T16:17:17,https://www.jleague.jp/club/ajax_player/
1.0,,,マテウス,GK,ブラジル,1993/4/10,190/80,3,0,1.0,GK,マテウス,1993/4/10,190/80,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
21.0,,,長沢 祐弥,GK,静岡県,1996/7/1,185/85,0,0,21.0,GK,長沢 祐弥,1996/7/1,185/85,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
31.0,,,馬渡 洋樹,GK,福岡県,1994/8/16,187/82,0,0,31.0,GK,馬渡 洋樹,1994/8/16,187/82,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
41.0,,,中村 圭佑,GK,埼玉県,2005/4/27,187/85,0,0,41.0,GK,中村 圭佑,2005/4/27,187/85,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
4.0,,,林 尚輝,DF,大阪府,1998/6/9,182/79,3,0,4.0,DF,林 尚輝,1998/6/9,182/79,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
5.0,,,井上 竜太,DF,埼玉県,2000/7/25,186/85,2,0,5.0,DF,井上 竜太,2000/7/25,186/85,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
6.0,,,宮原 和也,DF,広島県,1996/3/22,172/68,2,0,6.0,DF,宮原 和也,1996/3/22,172/68,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
15.0,,,鈴木 海音,DF,静岡県,2002/8/25,182/72,3,0,15.0,DF,鈴木 海音,2002/8/25,182/72,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
22.0,,,内田 陽介,DF,埼玉県,2002/8/20,167/65,3,0,22.0,DF,内田 陽介,2002/8/20,167/65,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
23.0,,HG,深澤 大輝,DF,東京都,1998/8/21,174/70,3,0,23.0,DF,深澤 大輝,1998/8/21,174/70,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
29.0,,HG,佐古 真礼,DF,東京都,2002/12/2,193/88,0,0,29.0,DF,佐古 真礼,2002/12/2,193/88,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
35.0,,,田邉 秀斗,DF,京都府,2002/5/5,181/74,0,0,35.0,DF,田邉 秀斗,2002/5/5,181/74,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
36.0,,,松田 陸,DF,群馬県,1999/5/3,176/70,0,0,36.0,DF,松田 陸,1999/5/3,176/70,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
55.0,,,吉田 泰授,DF,福島県,2000/4/21,174/67,2,1,55.0,DF,吉田 泰授,2000/4/21,174/67,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
7.0,,HG,松橋 優安,MF,神奈川県,2001/10/27,174/66,3,1,7.0,MF,松橋 優安,2001/10/27,174/66,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
8.0,,,齋藤 功佑,MF,神奈川県,1997/6/16,172/63,3,1,8.0,MF,齋藤 功佑,1997/6/16,172/63,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
10.0,,HG,森田 晃樹,MF,東京都,2000/8/8,167/63,3,0,10.0,MF,森田 晃樹,2000/8/8,167/63,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
14.0,,,福田 湧矢,MF,福岡県,1999/4/4,174/65,1,1,14.0,MF,福田 湧矢,1999/4/4,174/65,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
16.0,,,平川 怜,MF,東京都,2000/4/20,177/72,3,0,16.0,MF,平川 怜,2000/4/20,177/72,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
17.0,,,稲見 哲行,MF,栃木県,1999/4/5,178/75,0,0,17.0,MF,稲見 哲行,1999/4/5,178/75,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
24.0,,HG,仲山 獅恩,MF,東京都,2007/10/16,170/61,0,0,24.0,MF,仲山 獅恩,2007/10/16,170/61,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
28.0,,HG,山本 丈偉,MF,神奈川県,2006/5/18,187/75,2,0,28.0,MF,山本 丈偉,2006/5/18,187/75,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
30.0,,HG,川村 楽人,MF,東京都,2006/4/6,178/72,0,0,30.0,MF,川村 楽人,2006/4/6,178/72,tokyov,東京ヴェルディ,2026-02-22T16:17:19,https://www.jleague.jp/club/ajax_player/
