team,opponent,matches,points_per_match,gd_per_match,tendency,confidence,team_rank,opp_rank,rank_gap
町田,川崎Ｆ,2,0.5,-1.0,苦手,low,,,
町田,浦和,2,0.5,-1.0,苦手,low,,,
町田,横浜FM,2,0.5,-1.5,苦手,low,,,
町田,広島,2,0.0,-1.0,苦手,low,,,
神戸,東京Ｖ,2,3.0,2.5,得意,low,,,
神戸,湘南,2,3.0,2.5,得意,low,,,
神戸,岡山,2,3.0,1.5,得意,low,,,
神戸,川崎Ｆ,2,3.0,1.0,得意,low,,,
神戸,広島,2,3.0,1.0,得意,low,,,
神戸,横浜FM,2,3.0,1.0,得意,low,,,
神戸,柏,2,2.0,1.0,得意,low,,,
神戸,名古屋,2,2.0,0.5,得意,low,,,
神戸,Ｇ大阪,2,2.0,0.5,得意,low,,,
神戸,FC東京,2,0.5,-0.5,苦手,low,,,
神戸,新潟,2,0.5,-0.5,苦手,low,,,
神戸,浦和,2,0.5,-0.5,苦手,low,,,
神戸,福岡,2,0.5,-0.5,苦手,low,,,
神戸,鹿島,2,0.5,-0.5,苦手,low,,,
神戸,京都,2,0.5,-1.0,苦手,low,,,
神戸,Ｃ大阪,2,0.5,-1.0,苦手,low,,,
福岡,新潟,2,3.0,1.0,得意,low,,,
福岡,京都,2,2.0,0.5,得意,low,,,
福岡,岡山,2,2.0,0.5,得意,low,,,
福岡,浦和,2,2.0,0.5,得意,low,,,
福岡,湘南,2,2.0,0.5,得意,low,,,
福岡,神戸,2,2.0,0.5,得意,low,,,
福岡,名古屋,2,0.5,-0.5,苦手,low,,,
福岡,鹿島,2,0.5,-0.5,苦手,low,,,
福岡,清水,2,0.5,-1.0,苦手,low,,,
福岡,広島,2,0.0,-1.0,苦手,low,,,
福岡,柏,2,0.0,-1.0,苦手,low,,,
福岡,Ｃ大阪,2,0.0,-2.0,苦手,low,,,
鹿島,名古屋,2,3.0,2.5,得意,low,,,
鹿島,東京Ｖ,2,3.0,2.5,得意,low,,,
鹿島,横浜FC,2,3.0,2.0,得意,low,,,
鹿島,FC東京,2,3.0,1.5,得意,low,,,
鹿島,柏,2,3.0,1.5,得意,low,,,
鹿島,新潟,2,3.0,1.0,得意,low,,,
鹿島,浦和,2,2.0,0.5,得意,low,,,
鹿島,清水,2,2.0,0.5,得意,low,,,
鹿島,神戸,2,2.0,0.5,得意,low,,,
鹿島,福岡,2,2.0,0.5,得意,low,,,
鹿島,Ｇ大阪,2,2.0,0.5,得意,low,,,
鹿島,京都,2,0.5,-0.5,苦手,low,,,
鹿島,広島,2,0.5,-0.5,苦手,low,,,
Ｃ大阪,清水,2,3.0,2.5,得意,low,,,
Ｃ大阪,福岡,2,3.0,2.0,得意,low,,,
Ｃ大阪,岡山,2,3.0,1.0,得意,low,,,
Ｃ大阪,新潟,2,2.0,1.0,得意,low,,,
Ｃ大阪,神戸,2,2.0,1.0,得意,low,,,
Ｃ大阪,名古屋,2,0.5,-0.5,苦手,low,,,
Ｃ大阪,広島,2,0.5,-0.5,苦手,low,,,
Ｃ大阪,柏,2,0.5,-0.5,苦手,low,,,
Ｃ大阪,湘南,2,0.5,-0.5,苦手,low,,,
Ｃ大阪,横浜FC,2,0.0,-2.0,苦手,low,,,
Ｃ大阪,町田,2,0.0,-2.0,苦手,low,,,
Ｇ大阪,湘南,2,3.0,2.5,得意,low,,,
Ｇ大阪,名古屋,2,3.0,2.0,得意,low,,,
Ｇ大阪,東京Ｖ,2,3.0,2.0,得意,low,,,
Ｇ大阪,浦和,2,3.0,1.0,得意,low,,,
Ｇ大阪,新潟,2,2.0,1.0,得意,low,,,
Ｇ大阪,川崎Ｆ,2,2.0,0.5,得意,low,,,
Ｇ大阪,横浜FC,2,2.0,0.5,得意,low,,,
Ｇ大阪,清水,2,2.0,0.5,得意,low,,,
Ｇ大阪,神戸,2,0.5,-0.5,苦手,low,,,
Ｇ大阪,鹿島,2,0.5,-0.5,苦手,low,,,
Ｇ大阪,広島,2,0.0,-1.0,苦手,low,,,
Ｇ大阪,町田,2,0.0,-1.5,苦手,low,,,
Ｇ大阪,岡山,2,0.0,-2.5,苦手,low,,,
Ｇ大阪,柏,2,0.0,-3.0,苦手,low,,,
