league,round,match_id,home_team,away_team,predicted_result,flab_trial_flag,flab_trial_score,flab_trial_reason
J2,第９節,j2_2026_04051400_鳥栖_大分,鳥栖,大分,H,CAUTION,-3.115,"被シュート成功率差=A優位(逆行,-3.19); シュート成功率差=A優位(逆行,-3.04)"
J2,第１０節,j2_2026_04111400_甲府_札幌,甲府,札幌,A,CAUTION,-6.255,"被シュート成功率差=H優位(逆行,5.08); シュート成功率差=H優位(逆行,7.43)"
J2,第１０節,j2_2026_04121400_栃木Ｃ_八戸,栃木Ｃ,八戸,H,CAUTION,-0.245,"被シュート成功率差=A優位(逆行,-9.01); シュート成功率差=H優位(整合,8.52)"
J2,第１１節,j2_2026_04181400_大宮_磐田,大宮,磐田,D,CAUTION,-7.290,被シュート成功率差=H優位(4.44); シュート成功率差=H優位(10.14)
J2,第１２節,j2_2026_04251400_今治_富山,今治,富山,H,CAUTION,-0.345,"被シュート成功率差=H優位(整合,3.47); シュート成功率差=A優位(逆行,-4.16)"
J2,第１２節,j2_2026_04251400_仙台_山形,仙台,山形,H,CAUTION,-0.935,"被シュート成功率差=拮抗(中立,-0.20); シュート成功率差=A優位(逆行,-1.67)"
J2,第１２節,j2_2026_04251400_藤枝_大宮,藤枝,大宮,A,CAUTION,-0.280,"被シュート成功率差=H優位(逆行,1.60); シュート成功率差=A優位(整合,-1.04)"
J2,第１２節,j2_2026_04261300_八戸_秋田,八戸,秋田,H,CAUTION,-4.255,"被シュート成功率差=拮抗(中立,0.52); シュート成功率差=A優位(逆行,-9.03)"
J2,第１３節,j2_2026_04291400_大宮_甲府,大宮,甲府,H,CAUTION,-1.935,"被シュート成功率差=A優位(逆行,-4.08); シュート成功率差=拮抗(中立,0.21)"
J2,第１３節,j2_2026_04291400_札幌_藤枝,札幌,藤枝,H,CAUTION,-4.600,"被シュート成功率差=A優位(逆行,-2.60); シュート成功率差=A優位(逆行,-6.60)"
J2,第１３節,j2_2026_04291400_横浜FC_八戸,横浜FC,八戸,H,CAUTION,2.215,"被シュート成功率差=A優位(逆行,-6.99); シュート成功率差=H優位(整合,11.42)"
J2,第１４節,j2_2026_05021400_磐田_いわき,磐田,いわき,H,CAUTION,-4.900,"被シュート成功率差=A優位(逆行,-5.61); シュート成功率差=A優位(逆行,-4.19)"
J2,第１４節,j2_2026_05021400_鳥栖_宮崎,鳥栖,宮崎,H,CAUTION,-6.460,"被シュート成功率差=A優位(逆行,-2.71); シュート成功率差=A優位(逆行,-10.21)"
J2,第１５節,j2_2026_05061400_八戸_湘南,八戸,湘南,H,CAUTION,-5.930,"被シュート成功率差=拮抗(中立,0.42); シュート成功率差=A優位(逆行,-12.28)"
J2,第１５節,j2_2026_05061400_栃木Ｃ_横浜FC,栃木Ｃ,横浜FC,H,CAUTION,-2.460,"被シュート成功率差=A優位(逆行,-2.02); シュート成功率差=A優位(逆行,-2.90)"
J2,第１５節,j2_2026_05061400_甲府_磐田,甲府,磐田,A,CAUTION,-9.225,"被シュート成功率差=H優位(逆行,8.52); シュート成功率差=H優位(逆行,9.93)"
J2,第１６節,j2_2026_05091400_いわき_甲府,いわき,甲府,H,CAUTION,-4.325,"被シュート成功率差=A優位(逆行,-2.91); シュート成功率差=A優位(逆行,-5.74)"
J2,第１６節,j2_2026_05101400_大分_鳥栖,大分,鳥栖,A,CAUTION,-3.115,"被シュート成功率差=H優位(逆行,3.19); シュート成功率差=H優位(逆行,3.04)"
J2,第１７節,j2_2026_05161400_栃木Ｃ_山形,栃木Ｃ,山形,D,CAUTION,-6.755,被シュート成功率差=A優位(-10.02); シュート成功率差=A優位(-3.49)
J2,第１７節,j2_2026_05161400_湘南_仙台,湘南,仙台,A,CAUTION,-0.355,"被シュート成功率差=A優位(整合,-1.23); シュート成功率差=H優位(逆行,1.94)"
J2,第１７節,j2_2026_05161430_磐田_藤枝,磐田,藤枝,H,CAUTION,-7.570,"被シュート成功率差=A優位(逆行,-6.04); シュート成功率差=A優位(逆行,-9.10)"
J2,第１８節,j2_2026_05231400_札幌_磐田,札幌,磐田,A,CAUTION,-2.970,"被シュート成功率差=H優位(逆行,3.44); シュート成功率差=H優位(逆行,2.50)"
J2,第１８節,j2_2026_05231400_藤枝_いわき,藤枝,いわき,A,CAUTION,-2.670,"被シュート成功率差=拮抗(中立,0.43); シュート成功率差=H優位(逆行,4.91)"
